"","x"
"460",30696176
"461",30774791
"462",3627958
"463",3660267
"464",4254599
"465",5001110
"466",5628133
"467",7230329
"468",7760998
"469",839497
"470",9110869
"471",9176344
"472",9263167
"473",9514023
"474",10073369
"475",10602181
"476",11031472
"477",1135724
"478",1253255
"479",12631608
"480",12700287
"481",12969334
"482",13529881
"483",13981384
"484",1439204
"485",14483043
"486",14716196
"487",14917373
"488",15181171
"489",15883019
"490",16643519
"491",16920872
"492",16982982
"493",17936340
"494",1801588
"495",18880765
"496",19495760
"497",19943032
"498",19947623
"499",20021495
"500",2038918
"501",20889150
"502",21857947
"503",21990417
"504",22598494
"505",24500992
"506",25742784
"507",26192612
"508",26509160
"509",2651700
"510",27136910
"511",27158006
"512",27259022
"513",27393283
"514",29544977
"515",29744399
"516",30059165
"517",3680121
"518",4849987
"519",5627937
"520",6638004
"521",707782
"522",9828206
"523",10143641
"524",10206083
"525",12709586
"526",1311198
"527",14341564
"528",14446801
"529",15110846
"530",15360795
"531",16302527
"532",16314236
"533",16922899
"534",17123262
"535",18126664
"536",18825145
"537",19556989
"538",19721688
"539",19876795
"540",22888437
"541",2319016
"542",23652202
"543",24173023
"544",24411154
"545",24581156
"546",24710341
"547",24952352
"548",25763809
"549",27766217
"550",27919389
"551",28095266
"552",28149905
"553",28164638
"554",2820046
"555",2822981
"556",28338266
"557",28571311
"558",28779546
"559",29110168
"560",29258110
"561",29264915
"562",29287479
"563",2937281
"564",29684919
"565",29715112
"566",29730746
"567",29754533
"568",29861741
"569",3178201
"570",3345827
"571",448088
"572",4690768
"573",5113965
"574",5668735
"575",6715973
"576",6963068
"577",7326497
"578",7521337
"579",7654646
"580",7761034
"581",9090927
"582",9792333
"583",9840104
"584",10296760
"585",10600356
"586",12083690
"587",12375498
"588",12441421
"589",12513674
"590",12844127
"591",13165120
"592",13378700
"593",13535868
"594",13997811
"595",14104748
"596",14352914
"597",14599056
"598",14827177
"599",1482956
"600",15649949
"601",1700537
"602",18604529
"603",18884826
"604",19676842
"605",19683682
"606",19832749
"607",20347964
"608",2102530
"609",21217318
"610",22006375
"611",22091812
"612",2221646
"613",22868386
"614",23694054
"615",24043541
"616",24414729
"617",25636757
"618",25752181
"619",26992724
"620",27032034
"621",27250140
"622",28305939
"623",28507638
"624",28578207
"625",28637085
"626",28672158
"627",29176996
"628",29297163
"629",29356653
"630",29356860
"631",29378406
"632",29430137
"633",29677305
"634",29746885
"635",29788898
"636",29848873
"637",4262214
"638",4743535
"639",5777032
"640",6385043
"641",7472351
"642",9404271
"643",9991685
"644",13021445
"645",13039365
"646",1323322
"647",13581723
"648",13639233
"649",14412972
"650",14437443
"651",15301567
"652",15578471
"653",1599372
"654",17087283
"655",17814546
"656",18370197
"657",1839283
"658",1989025
"659",20480354
"660",20568456
"661",2150286
"662",21865400
"663",22388373
"664",23142534
"665",23648821
"666",24771562
"667",25623707
"668",28035967
"669",28571557
"670",28626105
"671",28674111
"672",28813503
"673",2883094
"674",29216424
"675",29439887
"676",29581474
"677",29605891
"678",29634402
"679",29657704
"680",29749603
"681",29794766
"682",30059249
"683",3702020
"684",6024037
"685",7351978
"686",7487798
"687",7532283
"688",9043778
"689",9262531
"690",9520633
"691",9577280
"692",9728949
"693",10660028
"694",11230169
"695",11687181
"696",1194714
"697",12060219
"698",13327366
"699",13373545
"700",14119960
"701",14164627
"702",14195380
"703",14934594
"704",15170276
"705",15649707
"706",15830237
"707",16454757
"708",16875778
"709",17294446
"710",1829852
"711",18348300
"712",18609896
"713",19349009
"714",20236374
"715",20618794
"716",20755323
"717",20767483
"718",21220514
"719",22762756
"720",23075026
"721",23333209
"722",23334307
"723",239227
"724",23964281
"725",24693524
"726",24870833
"727",2660740
"728",26767294
"729",26772883
"730",27107457
"731",27207212
"732",2741821
"733",27561848
"734",28234787
"735",28237298
"736",28248610
"737",28513877
"738",28637582
"739",28838138
"740",29652548
"741",29716871
"742",29762924
"743",29789178
"744",30107804
"745",30484437
"746",3066622
"747",3357665
"748",4393004
"749",4607817
"750",5791038
"751",6180800
"752",6368981
"753",7765222
"754",10346235
"755",10527153
"756",10600854
"757",11025735
"758",11242581
"759",11697145
"760",12060472
"761",12725221
"762",13432829
"763",13668648
"764",14049527
"765",14716083
"766",15940001
"767",178613
"768",18548129
"769",18548705
"770",18810767
"771",19692801
"772",19753173
"773",20639576
"774",21979181
"775",22034124
"776",22063744
"777",2308904
"778",23164460
"779",23216291
"780",23581377
"781",23674167
"782",24499369
"783",24873796
"784",25620423
"785",26010212
"786",26077309
"787",26165563
"788",26642743
"789",26653967
"790",27153763
"791",27924945
"792",28527657
"793",2877110
"794",28866048
"795",2892870
"796",29546277
"797",29635133
"798",29699313
"799",29803118
"800",30240483
"801",30658273
"802",4832764
"803",4949873
"804",5556012
"805",6830591
"806",74922
"807",9227253
"808",9361722
"809",9462117
"810",9590106
"811",1022806
"812",10471877
"813",11657654
"814",11812057
"815",12127055
"816",12441425
"817",12489487
"818",12849333
"819",13370874
"820",14150570
"821",1581374
"822",16403548
"823",16457927
"824",17042555
"825",17127984
"826",17531651
"827",17729265
"828",1805085
"829",18437772
"830",18964858
"831",19194265
"832",19634383
"833",20280359
"834",21795221
"835",22084607
"836",22328831
"837",23408190
"838",2401677
"839",24096790
"840",24656833
"841",24842188
"842",24871483
"843",25771184
"844",26156609
"845",26493795
"846",27789857
"847",28372416
"848",28806711
"849",29061762
"850",29138884
"851",29752756
"852",29768362
"853",30000750
"854",30736150
"855",3634650
"856",4346350
"857",4530454
"858",4969764
"859",5330202
"860",5779395
"861",5960744
"862",6534654
"863",7359856
"864",7621179
"865",8999990
"866",10772847
"867",111762
"868",12184828
"869",13079518
"870",13436610
"871",14169337
"872",15033262
"873",15406853
"874",15710521
"875",15856755
"876",16321658
"877",17208859
"878",17604101
"879",19703099
"880",19710677
"881",20014706
"882",21228429
"883",21369838
"884",21473634
"885",22143855
"886",22697572
"887",2275381
"888",22856320
"889",24520645
"890",25626393
"891",26076258
"892",26497611
"893",2729189
"894",2786311
"895",28547675
"896",2903662
"897",29057308
"898",29525209
"899",29613463
"900",29669462
"901",29784644
"902",29816585
"903",30332753
"904",3109465
"905",341983
"906",3591686
"907",4751108
"908",659729
"909",7635698
"910",8963837
"911",956233
"912",10519506
"913",10767916
"914",11030390
"915",11379745
"916",11970928
"917",12005467
"918",12908582
"919",15035414
"920",15776854
"921",15799462
"922",1663762
"923",16868662
"924",16899118
"925",17410710
"926",18870647
"927",18895325
"928",19607411
"929",22019601
"930",2358489
"931",23908467
"932",23975472
"933",24275018
"934",24408218
"935",24791619
"936",2650781
"937",26629714
"938",26913574
"939",27259156
"940",27289586
"941",27682640
"942",27735524
"943",28120769
"944",28127258
"945",2818541
"946",28341142
"947",29429559
"948",29454100
"949",29814641
"950",30455848
"951",3861830
"952",3971955
"953",4840911
"954",486344
"955",5412627
"956",6500211
"957",6531695
"958",7665966
"959",9302784
"960",9606390
"961",10539767
"962",10929061
"963",11099521
"964",1156973
"965",11640880
"966",11643021
"967",13430438
"968",13526766
"969",1401781
"970",14389560
"971",14538960
"972",15132165
"973",15152055
"974",15288938
"975",15953137
"976",160742
"977",17226932
"978",19634548
"979",21353215
"980",21378632
"981",21531866
"982",22906902
"983",23381508
"984",2339454
"985",2357030
"986",23724633
"987",24516895
"988",25766994
"989",26164595
"990",26462026
"991",26953229
"992",27163162
"993",2737948
"994",27543014
"995",27756144
"996",27811818
"997",28089621
"998",28363022
"999",28490896
"1000",28776349
"1001",28883557
"1002",29174201
"1003",29247138
"1004",29282012
"1005",29656206
"1006",29712780
"1007",29750814
"1008",30056789
"1009",30473100
"1010",3141047
"1011",4108483
"1012",4330378
"1013",4701574
"1014",4851767
"1015",6175423
"1016",6885621
"1017",9376153
"1018",10099901
"1019",10331821
"1020",10399359
"1021",10406378
"1022",11756559
"1023",1189013
"1024",12713850
"1025",12797957
"1026",13123647
"1027",13277205
"1028",13370715
"1029",1361903
"1030",13840074
"1031",14047632
"1032",14051592
"1033",14398183
"1034",14493024
"1035",14739515
"1036",14941277
"1037",15208603
"1038",1551317
"1039",1576077
"1040",16090045
"1041",16120609
"1042",1622804
"1043",16903097
"1044",17187946
"1045",17204397
"1046",18060206
"1047",18346524
"1048",18443931
"1049",18575728
"1050",20002469
"1051",20595282
"1052",21779188
"1053",21951834
"1054",22289929
"1055",22643808
"1056",23083140
"1057",24313279
"1058",25600583
"1059",25830353
"1060",26919994
"1061",27131320
"1062",27149240
"1063",27786412
"1064",27932194
"1065",28019287
"1066",28022229
"1067",28127016
"1068",28254934
"1069",28359758
"1070",28825426
"1071",28914940
"1072",29357146
"1073",29371357
"1074",29465083
"1075",29784773
"1076",30155159
"1077",30164276
"1078",30484488
"1079",30630188
"1080",3496559
"1081",3574228
"1082",3854867
"1083",7646770
"1084",9290285
"1085",9562661
"1086",9784043
"1087",10452233
"1088",1048344
"1089",11546968
"1090",12023334
"1091",13062132
"1092",13139542
"1093",14506129
"1094",15284187
"1095",15383376
"1096",155317
"1097",15712884
"1098",1740703
"1099",17424943
"1100",19965787
"1101",20252544
"1102",20405472
"1103",20473116
"1104",20698900
"1105",21088645
"1106",22026651
"1107",22286112
"1108",2537997
"1109",2567976
"1110",25937455
"1111",26069142
"1112",27328330
"1113",2733359
"1114",27656967
"1115",28673435
"1116",28686080
"1117",29083240
"1118",29111239
"1119",29263303
"1120",2934617
"1121",29365535
"1122",29395839
"1123",29594414
"1124",29711026
"1125",29712331
"1126",29733068
"1127",30057401
"1128",4697356
"1129",4842408
"1130",5338614
"1131",5476936
"1132",5820113
"1133",6605371
"1134",7003260
"1135",7492457
"1136",7593635
"1137",963653
"1138",9868087
"1139",11628580
"1140",11777431
"1141",11993747
"1142",12395649
"1143",12409490
"1144",13759590
"1145",14422051
"1146",15427558
"1147",16120412
"1148",16952653
"1149",1812876
"1150",20728691
"1151",20849057
"1152",20981212
"1153",21012919
"1154",21202297
"1155",22544909
"1156",23241407
"1157",24946422
"1158",25649582
"1159",26227697
"1160",2624702
"1161",26568491
"1162",27160735
"1163",27517836
"1164",27832854
"1165",28327016
"1166",28682102
"1167",28776441
"1168",28955938
"1169",29149545
"1170",295674
"1171",29613099
"1172",29618544
"1173",29707149
"1174",29786269
"1175",30026037
"1176",30304236
"1177",30339210
"1178",30485876
"1179",30688097
"1180",3190073
"1181",4442296
"1182",5934136
"1183",7367187
"1184",7631813
"1185",7765851
"1186",9113120
"1187",9313524
"1188",9451396
"1189",9611938
"1190",11159744
"1191",11699268
"1192",12891793
"1193",13656748
"1194",14062737
"1195",15621391
"1196",17291501
"1197",17302003
"1198",1887794
"1199",22672737
"1200",23830710
"1201",24087229
"1202",2411736
"1203",25645361
"1204",25891818
"1205",26422051
"1206",26606994
"1207",27117031
"1208",27462469
"1209",2804028
"1210",28059691
"1211",28237233
"1212",28246675
"1213",2882464
"1214",28839622
"1215",29434008
"1216",29724943
"1217",29807068
"1218",30013483
"1219",30123364
"1220",30314083
"1221",30331336
"1222",30510021
"1223",30595226
"1224",30749252
"1225",3125184
"1226",3531002
"1227",3562981
"1228",4085537
"1229",5959185
"1230",6679273
"1231",6907684
"1232",818575
"1233",9587711
"1234",9624458
"1235",10193450
"1236",10875534
"1237",10925501
"1238",11200414
"1239",12007344
"1240",12546922
"1241",13402704
"1242",13714122
"1243",13942309
"1244",14493109
"1245",15539556
"1246",15566655
"1247",15800852
"1248",15930704
"1249",17087752
"1250",17094628
"1251",17261235
"1252",1736422
"1253",19993167
"1254",20220948
"1255",20526048
"1256",20652093
"1257",20838448
"1258",22060674
"1259",24109171
"1260",24198830
"1261",24226711
"1262",24304381
"1263",24666524
"1264",24875063
"1265",25667935
"1266",26070224
"1267",26071610
"1268",26211894
"1269",26522457
"1270",26680137
"1271",27737771
"1272",27758633
"1273",28272965
"1274",28324183
"1275",29383853
"1276",29739777
"1277",29746085
"1278",30192684
"1279",30300629
"1280",30397182
"1281",30439130
"1282",30613064
"1283",3220026
"1284",3631697
"1285",3972653
"1286",4125498
"1287",4481600
"1288",5042705
"1289",6316357
"1290",6665701
"1291",7397500
"1292",935459
"1293",9651026
"1294",9696090
"1295",9830162
"1296",9898276
"1297",9921864
"1298",10741335
"1299",10804560
"1300",10836196
"1301",11050124
"1302",11517234
"1303",12006616
"1304",12031113
"1305",12855867
"1306",13838153
